date,fgp,tgp,cp,n,fgp_a,tgp_a,cp_a,new_n,used_n
2018-09-01,251713.33000000002,671279.49,8918806.83,316,796.561170886076,2124.3021835443037,28224.072246835443,185,131
2018-10-01,176146.97,549152.65,8194560.83,303,581.3431353135313,1812.3849834983498,27044.755214521454,157,146
2018-11-01,164314.15,589574.41,9475064.78,327,502.48975535168194,1802.9798470948012,28975.733272171252,197,130
2018-12-01,298681.35,758784.37,10046705.33,371,805.0710242587601,2045.2408894878706,27080.068274932615,203,168
2019-01-01,217296.8,558849.99,6831345.48,278,781.6431654676259,2010.251762589928,24573.18517985612,116,162
2019-02-01,129297.49,421472.15,6287544.82,248,521.3608467741935,1699.4844758064517,25353.003306451614,113,135
2019-03-01,272540.77999999997,816101.68,11305125.8,400,681.3519499999999,2040.2542,28262.8145,222,178
2019-04-01,274708.55,665664.76,7583234.97,279,984.6184587813619,2385.8951971326164,27180.053655913976,128,151
2019-05-01,288799.95,740804.24,9521548.45,328,880.4876524390244,2258.549512195122,29029.11112804878,174,154
2019-06-01,312730.78,738472.79,8934162.75,311,1005.5652090032155,2374.5105787781354,28727.211414790996,174,137
2019-07-01,347857.98,852863.39,9067479.56,322,1080.3042857142857,2648.644068322981,28159.87440993789,153,169
2019-08-01,379638,922355.44,9749552.42,350,1084.68,2635.301257142857,27855.86405714286,173,176
2019-09-01,245823.29,659352.66,8652022.82,304,808.6292434210527,2168.923223684211,28460.60138157895,164,140
2019-10-01,293484.86,735861.24,8147615.95,297,988.1645117845118,2477.6472727272726,27433.050336700337,145,152
2019-11-01,255294.97,720343.93,9179030.66,323,790.3869040247678,2230.1669659442728,28418.05157894737,165,157
2019-12-01,253496.44,740779.5,9723666.46,332,763.5434939759036,2231.2635542168673,29288.15198795181,195,137
2020-01-01,232466.66,642535.69,8025362.81,299,777.4804682274248,2148.948795986622,26840.67829431438,157,142
2020-02-01,199758.68,615373.04,8321061.79,309,646.4682200647248,1991.498511326861,26929.002556634303,142,167
2020-03-01,97978.86,332800.19,4756925.39,170,576.3462352941176,1957.6481764705882,27981.914058823528,84,86
2020-04-01,171.16999999999996,1580.2399999999998,24487,2,85.58499999999998,790.1199999999999,12243.5,0,2
2020-05-01,183797.04,683558.54,10594140.21,363,506.3279338842975,1883.0813774104683,29184.959256198348,189,172
