f561a6f72ad02c201e5e7e853ade9761,4e96b2e0132e2ecae9b1219db2988948,74071a673307ca7459bcf75fbd024e09,1,2022-05-18T08:27:35.000Z,3,2022-05-18T08:41:07.000Z,3,47.872,-122.277,47.774,-122.148,IE,1,1,1,2,Speedway2,"",2,104.5333314097633,208.51691752132382,23578.07364020217,1,530610420043,530330323191,America/Los_Angeles,America/Los_Angeles,67.66666666666667,021230030020110000,021230030032203103,"{\"method\":\"fused\",\"aid_type\":\"AAID\"}"
c5599e5959bb7e70ba78956e5402cede,518318f0414abdf21ec3f031b6ddf64a,74071a673307ca7459bcf75fbd024e09,1,2022-05-17T00:10:47.000Z,1,2022-05-17T00:19:54.000Z,1,47.86,-122.274,47.906,-122.27,EE,1,1,1,2,"","",0,34.65786630198336,52.85810088644577,5266.070240884694,1,530610518032,530610419052,America/Los_Angeles,America/Los_Angeles,109.4,021230030020112212,021230030002132121,"{\"method\":\"fused\",\"aid_type\":\"AAID\"}"
5224a0aff0ba94742819d4621f461235,56900463b6b110c92ecda69ebb2318ee,74071a673307ca7459bcf75fbd024e09,1,2022-05-17T02:39:07.000Z,1,2022-05-17T02:59:00.000Z,1,47.605,-122.327,47.873,-122.276,EE,1,1,1,2,"","",2,101.23255897311431,208.8066228181247,33547.34523747927,1,530330085001,530610420043,America/Los_Angeles,America/Los_Angeles,85.21428571428571,021230030220201013,021230030002332220,"{\"method\":\"fused\",\"aid_type\":\"AAID\"}"
e9f8d81b4763b78b7fc1e73261d888ff,5ccf7927928b1a22537c01f8407a4a27,74071a673307ca7459bcf75fbd024e09,1,2022-05-18T19:22:33.000Z,3,2022-05-18T19:39:18.000Z,3,47.806,-122.33,47.889,-122.262,EE,1,1,1,2,"","",0,38.03297330171727,45.92339791356728,10617.538380062739,1,530610504021,530610419012,America/Los_Angeles,America/Los_Angeles,201.0,021230030022001221,021230030002313213,"{\"method\":\"gps\",\"aid_type\":\"AAID\"}"
6d60613d99ac27d23b7185f129ae58d2,5d202c060c769ca77e4a4968edfd81c5,74071a673307ca7459bcf75fbd024e09,1,2022-05-17T21:34:26.000Z,2,2022-05-17T21:49:24.000Z,2,47.862,-122.283,47.886,-122.269,EE,1,1,1,2,"","",3,22.177401571268753,194.88674261219023,5532.029614166484,1,530610501023,530610419012,America/Los_Angeles,America/Los_Angeles,37.416666666666664,021230030020103031,021230030002330101,"{\"method\":\"gps\",\"aid_type\":\"IDFA\"}"
adbc2b781ea237e360218484a2cbd736,6128fc00c45c7145b58d560041e889c7,74071a673307ca7459bcf75fbd024e09,1,2022-05-17T22:09:11.000Z,2,2022-05-17T23:17:13.000Z,2,47.581,-122.372,47.871,-122.315,EE,1,1,1,2,"","",2,50.98837909297798,244.12138426882504,57815.15651598225,1,530330099004,530610420032,America/Los_Angeles,America/Los_Angeles,92.77272727272728,021230021331323030,021230030020010102,"{\"method\":\"gps\",\"aid_type\":\"IDFA\"}"
c273b47f5d4c5857b1b55f83272d8326,649a38e31ec1e280f092e8ecefb1020d,74071a673307ca7459bcf75fbd024e09,1,2022-05-18T22:36:03.000Z,3,2022-05-18T23:35:47.000Z,3,47.949,-122.3,47.639,-122.299,EE,1,1,1,2,"","",3,43.897422656302595,177.46123668449178,43702.32300005236,1,530610413012,530330062001,America/Los_Angeles,America/Los_Angeles,62.87719298245614,021230030000213311,021230030202322022,"{\"method\":\"fused\",\"aid_type\":\"AAID\"}"
9a541783a1ed8e93bf596491cd5ae7ba,6e2456406f77e1bba80a3a74ae19c698,74071a673307ca7459bcf75fbd024e09,1,2022-05-18T13:20:38.000Z,3,2022-05-18T13:46:10.000Z,3,47.889,-122.277,47.665,-122.29,EE,1,1,1,2,"","",2,77.74321178744749,198.2626063580627,33084.05568288043,1,530610419011,530330042003,America/Los_Angeles,America/Los_Angeles,90.11764705882352,021230030002312202,021230030202122332,"{\"method\":\"fused\",\"aid_type\":\"AAID\"}"
3aea86fc5cb7fc7b53cdacf15e55bb46,6eb52fc81ce477a618c5636b8674ccec,74071a673307ca7459bcf75fbd024e09,1,2022-05-19T01:31:41.000Z,3,2022-05-19T01:49:10.000Z,3,47.835,-122.254,47.875,-122.283,EE,1,1,1,2,"","",3,28.317979903558275,89.28062224666199,8251.54469967573,1,530610519273,530610420043,America/Los_Angeles,America/Los_Angeles,80.6923076923077,021230030021202000,021230030002323033,"{\"method\":\"fused\",\"aid_type\":\"AAID\"}"
3aa0f0b16c9c965837ee577b332402cc,6f034b1cf4b77a4108b5ea5a371dbe0a,74071a673307ca7459bcf75fbd024e09,1,2022-05-17T06:14:34.000Z,1,2022-05-17T06:36:11.000Z,1,47.936,-122.299,47.745,-122.331,EE,1,1,1,2,"","",3,90.71629044800403,209.74833615668504,32683.06353085034,1,530610413011,530330210005,America/Los_Angeles,America/Los_Angeles,49.88461538461538,021230030000233131,021230030200003002,"{\"method\":\"gps\",\"aid_type\":\"IDFA\"}"
